"Id","Nombre por defecto","Nombre Español (🇪🇸)","Nombre English (🇬🇧)","Nombre Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Nombre Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Nombre Catalán (🇪)","Nombre Chino (🇨)"
"a4a65056-7c75-4b9c-b414-153366bcc382","Queso","Queso","Cheese","","Käse","","","","Formatge",""
"537291ae-610e-4afe-a416-306306cd7058","Salchichon","Salchichon","Sausage","","Wurst","","","","Llonganissa",""
"7ddbd314-552e-4444-b86c-2acd56b76389","Salchichón","Salchichón","Sausage","","Wurst","","","","Llonganissa",""
"8ef6f7cd-31c7-4dd7-9f0a-c240ed0d7d76","Salchichón","","","","","","","","",""
"05daf453-1585-44b5-8570-08846e4c5bab","Salchichón","Salchichón","Sausage","","Wurst","","","","Llonganissa",""
"909ad63f-0482-4c9b-8a63-997aa9f2e88c","Salchichón","","","","","","","","",""
"fa19de46-f062-491a-98ea-914cc982e032","Tarta de pistacho","","","","","","","","",""
"46996ae7-d809-4de9-bd7f-226458caf7cb","Verdura","Verdura","Vegetable","","Gemüse","","","","Verdura",""
"d13c2de7-21a4-4140-ba73-a0efcfeb2285","York","","","","","","","","",""
"c83dace0-eb75-41bd-9b0a-3d321f0bca3d","Zumo de Naranja","Zumo de Naranja","Orange juice","","Orangensaft","","","","Suc de Taronja",""
"e99e76b8-ef76-4892-be0d-213e5ac7909a","Aguacate","","","","","","","","",""
"2be9580f-98c3-4a88-bb2a-5f36fc07f33d","Aguacate","","","","","","","","",""
"b617e15a-4302-4b4b-9744-516d1801a0fb","Almendra","Almendra","Almond","","Mandel","","","","Ametlla",""
"a8a3d597-1c16-4343-b535-ceaf4c8ef0b2","Almendra","","","","","","","","",""
